epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,a,g
0,0.0,25.0,25,False,False,log((((((((g-(((a/((w/(((-(((Om/g)+a))-w))**(-1)))+Om)))**(0.5))))**(0.5))*w)+Om))**(0.5))),"[log sqrt add mul sqrt sub g sqrt div a add div w inv sub neg add div Om g
 a w Om w Om]",1.0,1.0
0,0.0,24.0,24,False,False,((((((g*(g*-(((-((g*(((g/((-((Om/(((sigma8*g))**(0.5)))))**(0.5))))**(2)))))**(0.5))))))**(-1))-sigma8))**(2)),"[n2 sub inv mul g mul g neg sqrt neg mul g n2 div g sqrt neg div Om sqrt
 mul sigma8 g sigma8]",1.0,1.0
0,0.18755696485691017,22.0,22,True,False,((((((((((((a)**(0.5))*-(Om))-((-((w/((a)**(0.5)))))**(-1)))+(1.0*((a)**(0.5)))))**(-1)))**(2))*a))**(-1)),"[inv mul n2 inv add sub mul sqrt a neg Om inv neg div w sqrt a mul 1.0
 sqrt a a]",1.0,1.0
0,0.16744336004663915,15.0,15,True,False,(((((w)**(-1))-((exp((log(((((sigma8)**(0.5))+1.0)+1.0))-1.0)))**(2))))**(0.5)),[sqrt sub inv w n2 exp sub log add add sqrt sigma8 1.0 1.0 1.0],1.0,1.0
0,0.16864684851308587,15.0,15,True,False,((-((((exp(((((((w-(1.0*sigma8))+sigma8))**(0.5)))**(-1)))+sigma8))**(0.5))))**(0.5)),[sqrt neg sqrt add exp inv sqrt add sub w mul 1.0 sigma8 sigma8 sigma8],1.0,1.0
0,1.5815798472319368e-11,14.0,14,True,False,(exp(((1.0+(a/(((Om)**(2))*a)))/((sigma8)**(0.5))))-w),[sub exp div add 1.0 div a mul n2 Om a sqrt sigma8 w],1.0,1.0
0,0.1560007612254847,10.0,10,True,False,(((exp((((log(w))**(2))-sigma8)))**(2))+exp(sigma8)),[add n2 exp sub n2 log w sigma8 exp sigma8],1.0,1.0
0,0.20235584701982176,13.0,13,True,False,(((-(((((Om)**(0.5))+-(exp(w)))-log(1.0))))**(2))-sigma8),[sub n2 neg sub add sqrt Om neg exp w log 1.0 sigma8],1.0,1.0
0,0.0,23.0,23,False,False,(a*(sigma8*((-(((((sigma8-sigma8)*((-((Om*(((((-(((-(a))**(2))))**(0.5)))**(0.5))-Om))))**(2))))**(0.5))))**(0.5)))),"[mul a mul sigma8 sqrt neg sqrt mul sub sigma8 sigma8 n2 neg mul Om sub
 sqrt sqrt neg n2 neg a Om]",1.0,1.0
0,0.21394164303263383,14.0,14,True,False,-((((exp(((log(w)+((log(w))**(2)))/-(w))))**(-1))+Om)),[neg add inv exp div add log w n2 log w neg w Om],1.0,1.0
0,0.0,22.0,22,False,False,-((((a/1.0)-(a-(((((((exp(Om)*-((((g/(g/a)))**(0.5)))))**(2)))**(-1)))**(0.5))))*Om)),"[neg mul sub div a 1.0 sub a sqrt inv n2 mul exp Om neg sqrt div g div g a
 Om]",1.0,1.0
